SID	tg_lbp1	tg_lbp2	tg_lbp3	tg_lbp4	tg_lbp5	tg_hog1	tg_hog2	tg_hog3	tg_hog4	tg_hog5	tg_contrast	tg_dissimilarity	tg_homogeneity	tg_energy	tg_correlation	tg_entropy
TE0005153	49449	17038	28538	19549	57610	287485	23351	387	41	19	52.70662815	2.331628154	0.596924426	0.345434406	0.933281911	6.567910565
TE0005154	51752	19762	29709	21114	54691	290860	20018	359	35	11	75.33616766	4.151126607	0.477115225	0.333840706	0.905849353	6.610499495
TE0005155	37677	14251	21677	14802	42123	228724	15744	436	28	12	81.838638	3.554607087	0.520744035	0.375277113	0.936559987	6.928516396
TE0005156	57763	24147	33367	24485	60677	329368	25367	728	34	12	98.31999681	4.07135639	0.477044964	0.324936169	0.949603909	6.998139687
TE0005157	44202	16707	26006	16676	50853	262757	18524	478	29	11	79.14690788	3.590952711	0.501494377	0.350263755	0.940055446	6.814289089
TE0005158	30259	13410	26683	16236	40041	209121	18002	280	36	9	46.7001172	2.264569777	0.584551936	0.359859126	0.934463594	6.415782178
TE0005159	56660	18994	29069	19513	55071	285788	23170	586	28	10	72.78298358	3.671669708	0.48774923	0.314852971	0.925601318	6.684519631
TE0005160	54818	20590	31325	21513	55230	283394	21467	462	28	19	80.63905226	4.092146469	0.459335156	0.295444542	0.916045551	6.627501515
TE0005161	51077	21409	41274	25490	64797	323377	26763	603	47	21	53.69743023	2.31535167	0.567974981	0.316691713	0.942663269	6.410438585
TE0005162	60513	24396	35795	25849	69322	343021	24893	562	61	13	55.71198234	2.922451888	0.503359006	0.311981752	0.954206161	6.73002271
TE0005163	53768	21999	38119	23956	63128	318207	23294	585	47	11	67.43267934	3.45220339	0.482220219	0.310071878	0.942218616	6.650729323
TE0005164	36048	13879	22216	14992	40142	228921	15634	357	22	10	97.28429917	4.091464459	0.533111961	0.39152085	0.830382601	6.357240498
TE0005165	30109	11001	18312	12018	33366	172957	12986	309	34	14	63.60310811	3.12379235	0.5150742	0.342083392	0.913303537	6.386043557
TE0005166	31440	12732	19354	13125	32033	180074	14006	281	29	10	82.22275506	4.049166123	0.483132558	0.352058141	0.909456053	6.556019274
TE0005167	57243	22275	30782	21926	57220	306349	19782	415	30	16	89.11104642	4.678117789	0.433557533	0.31289634	0.897479366	6.467263242
TE0005168	69985	28717	38022	27546	66884	377220	27532	580	54	19	118.1003283	5.486107629	0.420321793	0.315418686	0.890050622	6.621238656
TE0005169	54415	23078	30778	23412	52842	312799	21216	469	27	19	75.74476049	3.912452857	0.482096082	0.343898197	0.918369073	6.653975409
TE0005170	53028	17636	27429	19020	61047	304056	21840	644	41	11	56.95501235	2.697676781	0.556118573	0.352213104	0.948293838	6.749390681
TE0005171	56279	22009	37186	23029	60960	317845	23046	549	45	11	79.95259994	3.769254962	0.463416351	0.297099871	0.932120463	6.698850413
TE0005172	36406	13307	19848	12743	35961	190933	14693	382	45	11	98.48056616	4.047925314	0.48483249	0.333656608	0.934326268	6.866523937
TE0005173	35245	12321	18331	12478	37694	205462	14484	332	21	21	37.08867353	2.224046131	0.586437243	0.389239418	0.938298594	6.408696646
