SID	zhi_lbp1	zhi_lbp2	zhi_lbp3	zhi_lbp4	zhi_lbp5	zhi_hog1	zhi_hog2	zhi_hog3	zhi_hog4	zhi_hog5	zhi_contrast	zhi_dissimilarity	zhi_homogeneity	zhi_energy	zhi_correlation	zhi_entropy
TE0001823	43273	13251	19059	18096	32660	587544	30939	994	113	60	53.7858736	1.951553198	0.815274054	0.743992868	0.751798526	6.307822669
TE0001824	30764	9732	13695	10055	23408	419571	21990	601	56	42	54.46208096	1.911812036	0.822284306	0.753953217	0.848210706	6.724744227
TE0001825	34708	12835	16516	13774	24084	508377	26373	1358	184	90	59.6359572	2.087210057	0.814782787	0.75953625	0.803384692	6.490160631
TE0001826	32087	9173	11591	7999	17286	470294	28560	1102	150	69	57.25162905	2.044703596	0.839671392	0.800210633	0.729207401	6.577338726
TE0001827	49412	14805	19894	15532	36167	639610	36923	1130	239	68	60.72501083	2.074709685	0.81930811	0.747348453	0.734955733	6.386722195
TE0001828	12637	4011	5705	3984	9579	437653	9617	469	79	31	17.80805414	0.633992943	0.935858256	0.90212836	0.829648597	6.312923333
TE0001829	20852	6171	8658	7006	17153	372844	17028	627	184	61	40.84675531	1.365966249	0.872240643	0.810704526	0.821579264	6.517027705
TE0001830	29571	10766	13819	10574	21967	409159	19559	728	132	46	59.06247792	2.077285777	0.808164705	0.750802466	0.83657637	6.770433718
TE0001831	27758	7249	9392	6699	15881	417034	23506	1175	171	50	67.75157028	2.001245397	0.851407306	0.806447156	0.811157376	6.808225601
TE0001832	51336	19681	29203	24095	47913	613897	32235	835	142	81	43.48945499	1.84028194	0.772774227	0.67524266	0.897788473	6.685757583
TE0001833	31755	9107	13690	9878	22381	550350	23460	1286	249	79	37.08832229	1.272009851	0.872098189	0.812357401	0.806462597	6.252468405
TE0001834	30135	9668	12048	10507	20615	435613	17887	589	198	42	56.57701859	2.14512412	0.815674139	0.769728442	0.812812048	6.569364488
TE0001835	38039	14262	19794	16078	35053	496488	27620	456	99	55	35.34131863	1.630595452	0.806389096	0.7145957	0.834332762	6.322382464
TE0001836	53556	17037	25538	21245	43915	589409	36830	777	120	47	66.34229718	2.273338009	0.781629301	0.679621855	0.8758673	6.829120311
TE0001837	21904	7167	9990	7228	15093	376348	16637	548	90	37	40.45627555	1.5915132	0.851233554	0.806799401	0.801076869	6.523271543
TE0001838	39659	11406	15132	11705	25798	512100	29312	937	198	72	62.05173517	2.174481759	0.819863323	0.75719288	0.791741621	6.652391768
TE0001839	42854	13501	20433	16184	36859	464117	26639	882	119	75	63.78043447	2.22511056	0.777883639	0.674683455	0.84519542	6.676592979
TE0001840	25376	6872	9894	7838	20857	427915	20270	1163	194	89	36.85150087	1.25647253	0.874530635	0.8056899	0.786380752	6.157821515
