SID	fissure_cnnPC1	fissure_cnnPC2	fissure_cnnPC3	fissure_cnnPC4	fissure_cnnPC5	fissure_cnnPC6	fissure_cnnPC7	fissure_cnnPC8	fissure_cnnPC9	fissure_cnnPC10
TE0004104	68.305016	1.0273514	-13.593259	-2.835765	11.75322	21.359154	23.61818	-22.727663	7.879498	1.0171885
TE0004105	-23.055977	-2.6266277	0.6413944	-1.1013216	11.4243355	-3.7380805	0.86534894	-12.473295	7.382565	-1.7875038
TE0004106	1.4821392	-3.8370984	-9.560674	-10.970333	-5.5145774	18.966509	0.7715744	-1.2649409	8.3522	-0.8523753
TE0004107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004108	0.68624127	-11.682267	2.8296127	-4.2205143	-16.266275	16.238697	0.36808082	1.997345	2.132212	0.7211172
TE0004109	7.9633455	-10.933427	34.332626	-17.223183	-14.232501	-5.600141	7.3107495	-4.386524	-1.2447017	-1.7412696
TE0004110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004116	-23.242458	-17.357643	3.4237278	7.7708635	-1.1537504	6.963645	-4.389224	4.5437636	5.7215953	-2.7349772
TE0004117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004118	17.756868	-4.7081184	29.048008	4.952666	12.817256	-7.058716	9.646302	-2.0118015	9.197294	1.134942
TE0004119	36.132206	14.555983	32.530884	-5.575282	-7.592236	3.7711258	-1.1979821	-9.770055	-7.476928	10.48364
TE0004120	-22.022682	-12.949707	5.5268836	2.1895216	9.895186	-6.8737845	4.6673355	1.2167952	2.876336	4.545168
TE0004121	-35.824844	-12.026781	-2.3819668	2.269788	-4.441116	2.7930655	-2.2122185	12.998395	7.910067	-2.2340713
TE0004122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004130	-41.617832	-10.682222	-6.7526636	12.066926	-4.195677	0.04125232	0.75560594	9.2656555	3.7602162	3.8547826
TE0004131	-12.238088	-2.0315168	-10.279917	12.077657	-7.50457	-7.362643	-1.0827376	-3.7602527	-5.1661434	-2.1713295
TE0004132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
