SID	tai_lbp1	tai_lbp2	tai_lbp3	tai_lbp4	tai_lbp5	tai_hog1	tai_hog2	tai_hog3	tai_hog4	tai_hog5	tai_contrast	tai_dissimilarity	tai_homogeneity	tai_energy	tai_correlation	tai_entropy
TE0005577	19171	5852	8151	6083	18297	223903	16032	912	143	66	145.7889776	2.945731751	0.77926401	0.709788273	0.619167206	6.101918387
TE0005578	28258	7461	10808	7187	26443	253620	14750	1029	108	61	140.218301	3.435166204	0.713907654	0.640465659	0.65000907	6.013479464
TE0005579	37221	9871	14789	11327	39165	369161	28606	1177	162	62	155.0244509	3.245515363	0.7515421	0.651803314	0.698960695	6.103557972
TE0005580	24664	7718	10269	7635	22222	252316	16052	1018	113	69	179.4549789	4.084581513	0.716492507	0.665106774	0.72364333	6.44519674
TE0005581	26000	9761	15175	9379	26539	208026	14789	352	45	24	103.5544659	3.713341324	0.622249519	0.538064103	0.868455309	6.538313193
TE0005582	45794	13261	19645	13914	50926	325940	25360	1093	88	31	155.0594021	4.259726732	0.616642293	0.496692629	0.874468063	6.471006839
TE0005583	33349	9739	15628	10043	35197	301299	21020	726	101	44	143.2113831	3.375711077	0.713048753	0.607967138	0.81606085	6.656210247
TE0005584	19496	6423	9511	7869	23432	215014	15156	1028	95	43	149.9649016	3.669324407	0.72588084	0.645988773	0.912813691	7.294813912
TE0005585	48482	13683	19180	14259	44766	319219	21614	932	102	34	194.2112656	5.463417174	0.571276993	0.492095333	0.858208781	6.7236203
TE0005586	24248	6694	9410	6671	23661	206161	14037	795	91	46	145.6894589	3.760411257	0.692861687	0.613684092	0.72538678	6.396814274
TE0005587	24175	7937	12671	9578	33330	230256	17841	627	68	40	101.9665619	2.836834468	0.707783558	0.577423908	0.892851776	6.947330129
TE0005588	27652	8333	11785	8179	24689	269640	15894	859	130	55	165.736992	3.675722848	0.716454288	0.653558411	0.688234175	6.164409049
TE0005589	15142	4720	6985	4862	12956	179228	14122	697	77	33	184.1377732	3.469678604	0.777659601	0.720670126	0.738802413	6.633386443
TE0005590	25244	6819	9532	6930	23128	289214	20479	1139	156	52	144.2598412	3.581791305	0.76128437	0.71428678	0.865752955	7.172192854
TE0005591	28275	6638	7887	5725	21892	316744	19972	1307	162	71	162.9357919	3.287460505	0.780655809	0.737790459	0.68287466	6.098103373
TE0005592	21618	6208	8429	6457	21830	228300	16587	1006	121	64	170.2173174	3.496313417	0.754313736	0.67460687	0.694467198	6.28806689
TE0005593	30492	10414	16426	12651	42231	382921	28881	1581	131	72	125.5343642	3.001138796	0.770230088	0.66337942	0.907422592	7.023443867
TE0005594	29289	10975	16143	12047	38064	341303	26195	1345	128	65	122.7610981	3.118585153	0.74464494	0.646077083	0.861565248	7.019977861
TE0005595	25015	10773	15969	12645	30059	280092	24739	886	85	54	100.0097715	3.172375594	0.715009024	0.623258271	0.868036793	6.933085013
TE0005596	26918	10431	17486	14906	48309	351529	24622	1290	110	71	112.9288644	2.251442191	0.782969224	0.623554906	0.863137611	6.532634427
TE0005597	26478	11098	15461	13189	36388	351644	24820	1007	88	63	75.85996887	2.309276031	0.7703595	0.668227298	0.897012996	6.865952604
TE0005598	25900	12654	16974	15676	37029	268397	22075	916	96	35	89.05076048	2.743078117	0.687604522	0.551945238	0.900210525	6.643764577
TE0005599	16067	7142	13098	10740	26867	241872	17579	681	70	51	86.41109889	2.40553411	0.773695095	0.65466581	0.893830114	6.964576845
TE0005600	23963	9128	19885	14427	43833	326844	24511	1255	151	75	129.181871	2.190074245	0.798422116	0.625778832	0.700085781	5.689027131
TE0005601	31248	13405	19196	15809	38565	312490	24502	1101	133	30	108.2162107	2.714758647	0.708180602	0.575105181	0.802838896	6.21100238
TE0005602	12537	5547	10327	8965	21680	154064	13083	463	38	22	75.99025131	2.321173672	0.74120578	0.58625644	0.881971928	6.753285617
