SID	tooth_mk_cnnPC1	tooth_mk_cnnPC2	tooth_mk_cnnPC3	tooth_mk_cnnPC4	tooth_mk_cnnPC5	tooth_mk_cnnPC6	tooth_mk_cnnPC7	tooth_mk_cnnPC8	tooth_mk_cnnPC9	tooth_mk_cnnPC10
TE0004110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004114	54.412724	-31.27024	5.999817	-0.12412019	17.536844	-1.5884831	-4.239818	-5.8619475	5.3492923	2.2019386
TE0004115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004118	-37.572407	6.8101807	-1.1670388	-9.566945	-4.671215	4.741056	7.4320636	0.7326266	-0.35122386	1.7372924
TE0004119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004120	-23.099123	1.0989107	-3.0408177	-20.057148	-4.6048255	1.7337706	2.0641434	3.5860553	-2.2392807	-1.8761413
TE0004121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004123	11.148864	-1.0611444	8.048717	-0.15550634	-11.418125	-12.943975	4.3547873	2.7588305	-10.088815	7.5063486
TE0004124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004127	42.853237	-27.377705	8.961696	14.480229	16.905537	2.824071	3.901294	18.759623	10.046428	7.821754
TE0004128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TE0004141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
